"N Adams St & Lee Hwy,""Washington, D.C.""",38.895433,-77.088868
"15th & N Scott St,""Washington, D.C.""",38.890376,-77.080848
"Washington Blvd & 7th St N,""Washington, D.C.""",38.880754,-77.090508
"Wilson Blvd & N Oakland St,""Washington, D.C.""",38.881219,-77.104091
"N Randolph St & Fairfax Dr,""Washington, D.C.""",38.88248,-77.109462
"N Quincy St & Glebe Rd,""Washington, D.C.""",38.876151,-77.108281
"George Mason Dr & Wilson Blvd,""Washington, D.C.""",38.878263,-77.120814
"Ballston Metro / N Stuart & 9th St N,""Washington, D.C.""",38.914202,-76.993234
"Glebe Rd & 11th St N,""Washington, D.C.""",38.883627,-77.116422
"N Quincy St & Wilson Blvd,""Washington, D.C.""",38.879884,-77.107548
"Fairfax Dr & Glebe Rd,""Washington, D.C.""",38.882028,-77.115744
"New Hampshire Ave & T St NW [formerly 16th & U St NW],""Washington, D.C.""",38.907231,-77.036464
"Smithsonian / Jefferson Dr & 12th St SW,""Washington, D.C.""",38.884522,-77.02811
"Jefferson Memorial,""Washington, D.C.""",38.881183,-77.035577
"20th & L St NW,""Washington, D.C.""",38.903743,-77.044893
"12th & L St NW,""Washington, D.C.""",38.903739,-77.028093
"21st St & Pennsylvania Ave NW,""Washington, D.C.""",38.901317,-77.046647
"19th & K St NW,""Washington, D.C.""",38.902526,-77.043452
"Idaho Ave & Newark St NW [on 2nd District patio],""Washington, D.C.""",38.907231,-77.036464
"Good Hope Rd & 14th St SE,""Washington, D.C.""",38.866775,-76.985128
"1714 Warehouse ,""Washington, D.C.""",46.68974,-118.941708
"Prince St & Union St,""Washington, D.C.""",38.803103,-77.040519
"Market Square / King St & Royal St,""Washington, D.C.""",47.591812,-122.327354
"Saint Asaph St & Pendleton  St,""Washington, D.C.""",38.810603,-77.044629
"King St & Patrick St,""Washington, D.C.""",38.805481,-77.050282
"Commerce St & Fayette St,""Washington, D.C.""",38.805605,-77.05248
"Henry St & Pendleton St,""Washington, D.C.""",38.811291,-77.050147
"Braddock Rd Metro,""Washington, D.C.""",38.814117,-77.053505
"King St Metro,""Washington, D.C.""",47.612225,-122.281746
"Utah St & 11th St N ,""Washington, D.C.""",38.883746,-77.113923
"Barton St & 10th St N,""Washington, D.C.""",38.884622,-77.087753
"Arlington Blvd & N Queen St,""Washington, D.C.""",38.889507,-77.077646
"1st & N St  SE,""Washington, D.C.""",38.874635,-77.005896
"15th & K St NW,""Washington, D.C.""",38.902402,-77.033633
"24th & N St NW,""Washington, D.C.""",38.907243,-77.051407
"10th & E St NW,""Washington, D.C.""",38.896116,-77.025999
"22nd & I St NW / Foggy Bottom,""Washington, D.C.""",38.900697,-77.048825
"Gallaudet / 8th St & Florida Ave NE,""Washington, D.C.""",38.905024,-76.995289
"Pentagon City Metro / 12th & Hayes St,""Washington, D.C.""",38.899872,-76.936544
"Crystal City Metro / 18th & Bell St,""Washington, D.C.""",38.907231,-77.036464
"Potomac Ave & 35th St S,""Washington, D.C.""",38.888798,-76.956073
"8th & F St NW / National Portrait Gallery,""Washington, D.C.""",38.907231,-77.036464
"Columbia Pike & S Courthouse Rd,""Washington, D.C.""",38.864273,-77.080335
"Walter Reed Community Center / Walter Reed Dr & 16th St S,""Washington, D.C.""",38.866252,-76.982224
"28th St S & S Meade St,""Washington, D.C.""",38.846191,-77.069368
"McPherson Square / 14th & H St NW,""Washington, D.C.""",48.109983,-122.800164
"20th St & Virginia Ave NW,""Washington, D.C.""",38.894467,-77.04527
"23rd & E St NW ,""Washington, D.C.""",38.896108,-76.973696
"21st St & Constitution Ave NW,""Washington, D.C.""",38.892098,-77.04668
"11th & F St NW,""Washington, D.C.""",38.897344,-77.027047
"11th & K St NW,""Washington, D.C.""",38.902504,-77.027044
"39th & Veazey St NW,""Washington, D.C.""",38.943971,-77.077047
"Fessenden St & Wisconsin Ave NW,""Washington, D.C.""",38.9547,-77.082632
"M St & Delaware Ave NE,""Washington, D.C.""",38.905647,-77.003051
"18th & Eads St.,""Washington, D.C.""",38.857362,-77.053083
"23rd & Eads St,""Washington, D.C.""",38.85336,-77.053507
"Fairfax Dr & Kenmore St,""Washington, D.C.""",38.8845,-77.1007
"S Troy St & 26th St S,""Washington, D.C.""",38.847804,-77.075435
"S Four Mile Run Dr & S Shirlington Rd,""Washington, D.C.""",38.856326,-77.109616
"S Oakland St & Columbia Pike,""Washington, D.C.""",38.907231,-77.036464
"S Abingdon St & 36th St S,""Washington, D.C.""",38.915329,-77.133769
"S Arlington Mill Dr & Campbell Ave,""Washington, D.C.""",38.907231,-77.036464
"S Kenmore & 24th St S,""Washington, D.C.""",38.848158,-76.970084
"18th & Wyoming Ave NW,""Washington, D.C.""",38.918741,-77.041664
"18th St & Wyoming Ave NW,""Washington, D.C.""",38.918741,-77.041664
"15th & Euclid St  NW,""Washington, D.C.""",38.923388,-77.035321
"17th & K St NW,""Washington, D.C.""",38.902519,-77.039497
"New Hampshire Ave & T St NW,""Washington, D.C.""",38.91558,-77.037897
"6th St & Indiana Ave NW,""Washington, D.C.""",38.89441,-77.019907
"5th St & Massachusetts Ave NW,""Washington, D.C.""",38.901127,-77.018929
"11th & M St NW,""Washington, D.C.""",38.905637,-77.027041
"17th St & Massachusetts Ave NW,""Washington, D.C.""",38.907925,-77.038503
"13th & U St NW,""Washington, D.C.""",38.866255,-76.987307
"Connecticut Ave & Nebraska Ave NW,""Washington, D.C.""",38.956033,-77.070411
"Connecticut & Nebraska Ave NW,""Washington, D.C.""",38.956033,-77.070411
"Connecticut Ave & Yuma St NW,""Washington, D.C.""",38.946738,-77.065004
"Wisconsin Ave & O St NW,""Washington, D.C.""",38.907857,-77.063582
"5th & Kennedy St NW,""Washington, D.C.""",38.956449,-77.019887
"Georgia Ave & Emerson St NW,""Washington, D.C.""",38.949734,-77.027135
"14th & Upshur St NW,""Washington, D.C.""",38.941867,-77.032724
"14th St & Colorado Ave NW,""Washington, D.C.""",38.95604,-77.033428
"New Jersey Ave & R St NW,""Washington, D.C.""",38.912599,-77.017356
"18th St & Rhode Island Ave NE,""Washington, D.C.""",38.927714,-76.979119
"12th & Irving St NE,""Washington, D.C.""",38.928591,-76.99067
"Neal St & Trinidad Ave NE,""Washington, D.C.""",38.903371,-76.986138
"5th & K St NW,""Washington, D.C.""",38.902523,-77.018948
"8th & East Capitol St NE,""Washington, D.C.""",38.889805,-76.994965
"15th & East Capitol St NE,""Washington, D.C.""",38.889801,-76.983645
"8th & F St NE,""Washington, D.C.""",38.897333,-76.994965
"15th & F St NE,""Washington, D.C.""",38.896667,-76.983644
"Randle Circle & Minnesota Ave SE,""Washington, D.C.""",38.878541,-76.961129
"34th St & Minnesota Ave SE,""Washington, D.C.""",38.883625,-76.95754
"Alabama & MLK Ave SE,""Washington, D.C.""",38.843196,-76.999844
"Pleasant St & MLK Ave SE,""Washington, D.C.""",38.863912,-76.990282
"12th & Hayes St /  Pentagon City Metro,""Washington, D.C.""",38.977113,-77.020461
"S George Mason Dr & 13th St S,""Washington, D.C.""",38.856197,-77.100291
"S George Mason Dr & Four Mile Run,""Washington, D.C.""",38.907231,-77.036464
"S Stafford & 34th St S,""Washington, D.C.""",33.448246,-112.007403
"N Pershing Dr & Wayne St,""Washington, D.C.""",38.880652,-77.085682
"Columbia Pike & S Orme St,""Washington, D.C.""",38.866445,-77.071936
"Columbia Pike & S Walter Reed Dr,""Washington, D.C.""",38.862552,-77.087055
"Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,""Washington, D.C.""",38.907231,-77.036464
"Pershing & N George Mason Dr,""Washington, D.C.""",38.880754,-77.090508
"Calvert & Biltmore St NW,""Washington, D.C.""",38.923265,-77.047344
"3rd & Elm St NW,""Washington, D.C.""",38.917504,-77.015959
"3rd St & Pennsylvania Ave SE,""Washington, D.C.""",38.886957,-77.002033
"8th & D St NW,""Washington, D.C.""",38.894797,-77.022969
"Constitution Ave & 2nd St NW/DOL,""Washington, D.C.""",38.907231,-77.036464
"Washington & Independence Ave SW/HHS,""Washington, D.C.""",38.907231,-77.036464
"Rhode Island Ave & V St NE,""Washington, D.C.""",38.918107,-77.005488
"Hamlin & 7th St NE,""Washington, D.C.""",38.927428,-76.996177
"Independence Ave & L'Enfant Plaza SW/DOE,""Washington, D.C.""",38.907231,-77.036464
"Norfolk Ave & Fairmont St,""Washington, D.C.""",38.9885,-77.096577
"Fenton St & New York Ave ,""Washington, D.C.""",38.985738,-77.022918
"Bethesda Ave & Arlington Blvd,""Washington, D.C.""",38.980846,-77.098408
"Fallsgrove Blvd & Fallsgrove Dr,""Washington, D.C.""",38.907231,-77.036464
"Traville Gateway Dr & Gudelsky Dr,""Washington, D.C.""",38.907231,-77.036464
"13th St & Eastern Ave,""Washington, D.C.""",38.986928,-77.029644
"E Montgomery Ave & Maryland Ave,""Washington, D.C.""",38.937249,-77.059355
"Cordell & Norfolk Ave,""Washington, D.C.""",38.989398,-77.098075
"Frederick Ave & Horners Ln,""Washington, D.C.""",38.907231,-77.036464
"Philadelphia & Maple Ave,""Washington, D.C.""",38.981039,-77.010294
"Maple & Ritchie Ave,""Washington, D.C.""",38.983454,-77.006529
"Silver Spring Metro/Colesville Rd & Wayne Ave,""Washington, D.C.""",38.834433,-77.003776
"Montgomery & East Ln,""Washington, D.C.""",38.983468,-77.095011
"Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,""Washington, D.C.""",38.961824,-77.084899
"Alta Tech Office,""Washington, D.C.""",38.907231,-77.036464
"Aurora Hills Community Ctr/18th & Hayes St,""Washington, D.C.""",38.899872,-76.936544
"26th & S Clark St,""Washington, D.C.""",38.850652,-77.051739
"Arlington Blvd & Fillmore St,""Washington, D.C.""",38.873414,-77.089373
"Long Bridge Park/Long Bridge Dr & 6th St S,""Washington, D.C.""",38.881281,-77.019913
"31st & Woodrow St S,""Washington, D.C.""",38.907231,-77.036464
"Washington Blvd & Walter Reed Dr ,""Washington, D.C.""",38.872487,-77.081334
"Thomas Jefferson Cmty Ctr / 2nd St S & Ivy,""Washington, D.C.""",38.907231,-77.036464
"14th & Belmont St NW,""Washington, D.C.""",38.921086,-77.031873
"10th & Florida Ave NW,""Washington, D.C.""",38.920534,-77.025992
"Hains Point/Buckeye & Ohio Dr SW,""Washington, D.C.""",38.876189,-77.035112
"Connecticut Ave & Tilden St NW,""Washington, D.C.""",38.941011,-77.061688
"3rd & Tingey St SE,""Washington, D.C.""",38.874912,-77.002031
"Potomac Ave & 8th St SE,""Washington, D.C.""",38.876833,-76.994981
"New Jersey Ave & N St NW/Dunbar HS,""Washington, D.C.""",38.907231,-77.036464
"North Capitol St & G Pl NE,""Washington, D.C.""",38.899559,-77.009125
"Nannie Helen Burroughs Ave & 49th St NE,""Washington, D.C.""",38.898539,-76.931643
"Deanwood Rec Center,""Washington, D.C.""",38.907797,-76.932977
"Montgomery Ave & Waverly St ,""Washington, D.C.""",38.983868,-77.092427
"Crabbs Branch Way & Redland Rd,""Washington, D.C.""",39.121048,-77.158582
"Fallsgove Dr & W Montgomery Ave,""Washington, D.C.""",39.084177,-77.152901
"Monroe St & Monroe Pl,""Washington, D.C.""",41.942064,-83.38631
"Needwood Rd & Eagles Head Ct,""Washington, D.C.""",39.123462,-77.15731
"East West Hwy & Blair Mill Rd,""Washington, D.C.""",38.989957,-77.028934
"Crabbs Branch Way & Calhoun Pl,""Washington, D.C.""",39.107846,-77.152065
"47th & Elm St,""Washington, D.C.""",38.982417,-77.092121
"Garland Ave & Walden Rd,""Washington, D.C.""",38.907231,-77.036464
"Montgomery College/W Campus Dr & Mannakee St,""Washington, D.C.""",38.907231,-77.036464
"Fenton St & Gist Ave,""Washington, D.C.""",38.989523,-77.023928
